handle,account_id,status_id,created_at,favs,boosts,replies,is_reply,is_boost,has_media,lang,tags_json,hour,daypart
Boqueroni@mastodon.social,1185988,115068723294914872,2025-08-21 20:49:36.451000+00:00,1,0,1,True,False,False,pt,[],20,Evening
Boqueroni@mastodon.social,1185988,115068720482390875,2025-08-21 20:48:53.536000+00:00,0,0,0,True,False,False,es,[],20,Evening
Boqueroni@mastodon.social,1185988,115068552155272179,2025-08-21 20:06:05.068000+00:00,1,0,1,True,False,False,es,[],20,Evening
Boqueroni@mastodon.social,1185988,115068481310271135,2025-08-21 19:48:04.061000+00:00,1,0,1,True,False,False,es,[],19,Evening
Boqueroni@mastodon.social,1185988,115068478347334903,2025-08-21 19:47:18.846000+00:00,0,0,0,True,False,False,es,[],19,Evening
Boqueroni@mastodon.social,1185988,115068393919792348,2025-08-21 19:25:50.586000+00:00,14,0,4,False,False,True,es,[],19,Evening
Boqueroni@mastodon.social,1185988,115068048912136981,2025-08-21 17:58:06.185000+00:00,12,0,0,False,False,True,es,[],17,Afternoon
Boqueroni@mastodon.social,1185988,115067588198184023,2025-08-21 16:00:56.258000+00:00,7,0,0,False,False,True,es,[],16,Afternoon
Boqueroni@mastodon.social,1185988,115067583399958080,2025-08-21 15:59:43.034000+00:00,1,0,0,True,False,False,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115067378242903843,2025-08-21 15:07:32.586000+00:00,1,0,0,True,False,False,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115067351117368156,2025-08-21 15:00:38.685000+00:00,2,0,0,True,False,False,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115067349520712831,2025-08-21 15:00:14.322000+00:00,0,0,1,True,False,False,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115067347590354804,2025-08-21 14:59:44.864000+00:00,1,0,0,True,False,False,es,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115067297998858160,2025-08-21 14:47:08.158000+00:00,8,2,3,False,False,True,es,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115067215813725130,2025-08-21 14:26:14.113000+00:00,1,0,0,True,False,False,en,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115067208325067075,2025-08-21 14:24:19.845000+00:00,1,0,1,True,False,False,es,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115067204763415889,2025-08-21 14:23:25.501000+00:00,1,0,0,True,False,False,es,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115067203402018805,2025-08-21 14:23:04.726000+00:00,0,0,0,True,False,False,es,[],14,Afternoon
Boqueroni@mastodon.social,1185988,115066870279755166,2025-08-21 12:58:21.687000+00:00,1,0,1,True,False,False,es,[],12,Afternoon
Boqueroni@mastodon.social,1185988,115066104072109631,2025-08-21 09:43:30.280000+00:00,12,1,1,False,False,True,es,[],9,Morning
Boqueroni@mastodon.social,1185988,115066000019823926,2025-08-21 09:17:02.570000+00:00,10,0,0,False,False,True,es,[],9,Morning
Boqueroni@mastodon.social,1185988,115065980671673854,2025-08-21 09:12:07.341000+00:00,0,0,1,True,False,False,es,[],9,Morning
Boqueroni@mastodon.social,1185988,115065977641065182,2025-08-21 09:11:21.101000+00:00,1,0,1,True,False,False,es,[],9,Morning
Boqueroni@mastodon.social,1185988,115065684047899213,2025-08-21 07:56:41.222000+00:00,10,0,1,False,False,True,es,[],7,Morning
Boqueroni@mastodon.social,1185988,115065655972692107,2025-08-21 07:49:32.829000+00:00,1,0,0,True,False,False,en,[],7,Morning
Boqueroni@mastodon.social,1185988,115065557901960610,2025-08-21 07:24:36.388000+00:00,8,0,0,False,False,True,es,[],7,Morning
Boqueroni@mastodon.social,1185988,115065499497378520,2025-08-21 07:09:45.203000+00:00,12,0,4,False,False,True,es,[],7,Morning
Boqueroni@mastodon.social,1185988,115065487678246491,2025-08-21 07:06:44.859000+00:00,1,0,1,True,False,False,fr,[],7,Morning
Boqueroni@mastodon.social,1185988,115065466193857201,2025-08-21 07:01:17.032000+00:00,1,0,1,True,False,False,es,[],7,Morning
Boqueroni@mastodon.social,1185988,115065460822742332,2025-08-21 06:59:55.075000+00:00,1,0,0,True,False,False,gl,[],6,Morning
Boqueroni@mastodon.social,1185988,115065453324514183,2025-08-21 06:58:00.662000+00:00,1,0,1,True,False,False,ru,[],6,Morning
Boqueroni@mastodon.social,1185988,115065446631873509,2025-08-21 06:56:18.541000+00:00,1,0,1,True,False,False,es,[],6,Morning
Boqueroni@mastodon.social,1185988,115065444305987786,2025-08-21 06:55:43.052000+00:00,1,0,1,True,False,False,pt,[],6,Morning
Boqueroni@mastodon.social,1185988,115063050552422212,2025-08-20 20:46:57.273000+00:00,1,0,2,True,False,False,pt,[],20,Evening
Boqueroni@mastodon.social,1185988,115063038881987082,2025-08-20 20:43:59.193000+00:00,1,0,0,True,False,False,es,[],20,Evening
Boqueroni@mastodon.social,1185988,115062738547354640,2025-08-20 19:27:36.458000+00:00,1,0,2,True,False,False,es,[],19,Evening
Boqueroni@mastodon.social,1185988,115062654908597214,2025-08-20 19:06:20.226000+00:00,14,3,2,False,False,True,es,[],19,Evening
Boqueroni@mastodon.social,1185988,115062483616436212,2025-08-20 18:22:46.512000+00:00,18,9,1,False,False,True,es,[],18,Evening
Boqueroni@mastodon.social,1185988,115062376912683598,2025-08-20 17:55:38.343000+00:00,9,2,0,False,False,True,es,[],17,Afternoon
Boqueroni@mastodon.social,1185988,115062023790316996,2025-08-20 16:25:50.122000+00:00,1,0,0,True,False,False,es,[],16,Afternoon
Boqueroni@mastodon.social,1185988,115062020898202042,2025-08-20 16:25:05.994000+00:00,1,0,0,True,False,False,es,[],16,Afternoon
Boqueroni@mastodon.social,1185988,115061904239358530,2025-08-20 15:55:25.927000+00:00,18,4,1,False,False,True,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115061894966344453,2025-08-20 15:53:04.431000+00:00,1,0,1,True,False,False,es,[],15,Afternoon
Boqueroni@mastodon.social,1185988,115061879891242974,2025-08-20 15:49:14.405000+00:00,1,0,1,True,False,False,es,[],15,Afternoon
